handle,url,title,vendor,category,productType,collections,available,priceMin,priceMax,compareAt,zeroPrice,duplicateTitle,nearDuplicates,imageMain,imageCount,missingImages,photoPreparing,altMissing,altInternal,descriptionLength,ingredientes,supplementFacts,porcion,cantidad,modoUso,advertencias,contraindicaciones,claims,claimClass,metaTitle,metaDescription,ogTitle,ogDescription,canonical,structuredData,productSchema,availabilitySchema,httpStatus,gtinUpc,sku,relatedProducts,notes,regulatoryStatus,reviewReason
"afeitadora-electrica-phillipd-norelco-2200","https://drop-shop-g7.myshopify.com/products/afeitadora-electrica-phillipd-norelco-2200","Afeitadora Electrica Phillipd Norelco 2200","Philips","cosmético/cuidado personal o dispositivo","Afeitado y grooming","","false","132500","132500","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-283-principal-lote-philips-02.png?v=1786397045","5","false","false","5","","715","false","false","false","false","true","false","false","","SAFE","Afeitadora Electrica Phillipd Norelco 2200 &ndash; Drop Shop","Afeitadora eléctrica Philips Norelco 2200, de la Serie 2000. Es de uso en seco y trabaja con tres cabezales rotativos.Las cuchillas27 cuchillas ComfortCut autoafilables. Las tapas redondeadas las cubren para que corten el vello justo por encima del nivel de la piel y el aparato se deslice sin tirones.Cabezales 4D FlexS","Afeitadora Electrica Phillipd Norelco 2200","Afeitadora eléctrica Philips Norelco 2200, de la Serie 2000. Es de uso en seco y trabaja con tres cabezales rotativos.Las cuchillas27 cuchillas ComfortCut autoafilables. Las tapas redondeadas las cubren para que corten el vello justo por encima del nivel de la piel y el aparato se deslice sin tirones.Cabezales 4D FlexS","https://drop-shop-g7.myshopify.com/products/afeitadora-electrica-phillipd-norelco-2200","true","true","true","200","","BelPhi-283","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"cabezales-para-cepillo-philips-sonicare-c1-4pz","https://drop-shop-g7.myshopify.com/products/cabezales-para-cepillo-philips-sonicare-c1-4pz","Cabezales Para Cepillo Philips Sonicare C1 - 4pz","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","135000","135000","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-264-principal-lote-philips-02.png?v=1786397041","5","false","false","5","","613","false","false","false","false","false","false","false","","SAFE","Cabezales Para Cepillo Philips Sonicare C1 - 4pz &ndash; Drop Shop","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C1 ProResults, para la limpieza diaria.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos con el m","Cabezales Para Cepillo Philips Sonicare C1 - 4pz","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C1 ProResults, para la limpieza diaria.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos con el m","https://drop-shop-g7.myshopify.com/products/cabezales-para-cepillo-philips-sonicare-c1-4pz","true","true","true","200","","BelPhi-264","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"repuesto-pack-4-cepillo-dental-philips-sonicare-c2","https://drop-shop-g7.myshopify.com/products/repuesto-pack-4-cepillo-dental-philips-sonicare-c2","Repuesto (Pack 4) Cepillo dental Philips Sonicare C2","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","139990","139990","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-199-principal-lote-philips-02.png?v=1786397038","5","false","false","5","","621","false","false","false","false","false","false","false","","SAFE","Repuesto (Pack 4) Cepillo dental Philips Sonicare C2 &ndash; Drop Shop","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C2 Optimal Plaque Defense, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","Repuesto (Pack 4) Cepillo dental Philips Sonicare C2","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C2 Optimal Plaque Defense, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","https://drop-shop-g7.myshopify.com/products/repuesto-pack-4-cepillo-dental-philips-sonicare-c2","true","true","true","200","","BelPhi-199","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"afeitadora-facial-norelco-oneblade-360-qp2724-70-philips","https://drop-shop-g7.myshopify.com/products/afeitadora-facial-norelco-oneblade-360-qp2724-70-philips","Afeitadora facial Norelco OneBlade 360 QP2724/70, Philips","Philips","cosmético/cuidado personal o dispositivo","Afeitado y grooming","","false","217125","217125","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-198-principal-philips-01.png?v=1786397033","5","false","false","5","","780","false","false","false","false","true","false","false","","SAFE","Afeitadora facial Norelco OneBlade 360 QP2724/70, Philips &ndash; Drop Shop","Philips Norelco OneBlade 360 Face QP2724/70: recorta, perfila y afeita cualquier largo de vello. No es una afeitadora al uso, está pensada para dar forma tanto como para apurar.Cómo funcionaCuchilla 360 que se flexiona en todas direcciones para adaptarse a las curvas del rostro, con cortador rápido de 12.000 movimiento","Afeitadora facial Norelco OneBlade 360 QP2724/70, Philips","Philips Norelco OneBlade 360 Face QP2724/70: recorta, perfila y afeita cualquier largo de vello. No es una afeitadora al uso, está pensada para dar forma tanto como para apurar.Cómo funcionaCuchilla 360 que se flexiona en todas direcciones para adaptarse a las curvas del rostro, con cortador rápido de 12.000 movimiento","https://drop-shop-g7.myshopify.com/products/afeitadora-facial-norelco-oneblade-360-qp2724-70-philips","true","true","true","200","","BelPhi-198","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"cepillo-dental-electrico-philips-sonicare-one-para-ninos-morado","https://drop-shop-g7.myshopify.com/products/cepillo-dental-electrico-philips-sonicare-one-para-ninos-morado","Cepillo dental Electrico Philips Sonicare One para niños morado","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","true","80000","80000","","false","false","cepillo-dental-electrico-philips-sonicare-one-para-ninos-azul","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-197-Morado-principal-philips-01.png?v=1786397032","5","false","false","5","","800","false","false","false","false","true","false","false","","SAFE","Cepillo dental Electrico Philips Sonicare One para niños morado &ndash; Drop Shop","Cepillo dental eléctrico Philips One for Kids by Sonicare, pensado para niños de 3 años en adelante. Funciona con pila, no con base de carga. Este es el morado.Cómo limpiaUsa microvibraciones suaves, para que el paso del cepillo manual al eléctrico no sea brusco. El cabezal es compacto, de cerdas suaves y con respaldo ","Cepillo dental Electrico Philips Sonicare One para niños morado","Cepillo dental eléctrico Philips One for Kids by Sonicare, pensado para niños de 3 años en adelante. Funciona con pila, no con base de carga. Este es el morado.Cómo limpiaUsa microvibraciones suaves, para que el paso del cepillo manual al eléctrico no sea brusco. El cabezal es compacto, de cerdas suaves y con respaldo ","https://drop-shop-g7.myshopify.com/products/cepillo-dental-electrico-philips-sonicare-one-para-ninos-morado","true","true","true","200","","BelPhi-197-Morado","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"repuesto-pack-4-cepillo-dental-philips-sonicare-c3-negro","https://drop-shop-g7.myshopify.com/products/repuesto-pack-4-cepillo-dental-philips-sonicare-c3-negro","Repuesto (Pack 4) Cepillo dental Philips Sonicare C3, negro","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","99000","99000","","false","false","repuesto-pack-4-cepillo-dental-philips-sonicare-c3-blanco","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-197-principal-philips-01.png?v=1786397028","5","false","false","5","","621","false","false","false","false","false","false","false","","SAFE","Repuesto (Pack 4) Cepillo dental Philips Sonicare C3, negro &ndash; Drop Shop","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C3 Premium Plaque Control, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","Repuesto (Pack 4) Cepillo dental Philips Sonicare C3, negro","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C3 Premium Plaque Control, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","https://drop-shop-g7.myshopify.com/products/repuesto-pack-4-cepillo-dental-philips-sonicare-c3-negro","true","true","true","200","","BelPhi-197","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"cepillo-dental-electrico-phillips-sonicare-4101","https://drop-shop-g7.myshopify.com/products/cepillo-dental-electrico-phillips-sonicare-4101","Cepillo dental Electrico Phillips Sonicare 4100","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","293997","293997","","false","true","cepillo-dental-electrico-phillips-sonicare-4100","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-16-Negro-principal-philips-01.png?v=1786397027","5","false","false","5","","726","false","false","false","false","true","false","false","","SAFE","Cepillo dental Electrico Phillips Sonicare 4100 &ndash; Drop Shop","Cepillo dental eléctrico sónico Philips Sonicare, serie 4100. Según la marca retira hasta 7 veces más placa que un cepillo manual.Qué traeSensor de presión que avisa con un pulso suave cuando aprietas de más, para no dañar encías. Tecnología BrushSync, que sincroniza mango y cabezal y te avisa con un pitido y una luz c","Cepillo dental Electrico Phillips Sonicare 4100","Cepillo dental eléctrico sónico Philips Sonicare, serie 4100. Según la marca retira hasta 7 veces más placa que un cepillo manual.Qué traeSensor de presión que avisa con un pulso suave cuando aprietas de más, para no dañar encías. Tecnología BrushSync, que sincroniza mango y cabezal y te avisa con un pitido y una luz c","https://drop-shop-g7.myshopify.com/products/cepillo-dental-electrico-phillips-sonicare-4101","true","true","true","200","","BelPhi-16-Negro","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"cepillo-dental-electrico-phillips-sonicare-4100","https://drop-shop-g7.myshopify.com/products/cepillo-dental-electrico-phillips-sonicare-4100","Cepillo dental Electrico Phillips Sonicare 4100","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","346900","346900","","false","true","cepillo-dental-electrico-phillips-sonicare-4101","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-16-Blanco-principal-philips-01.png?v=1786397025","5","false","false","5","","726","false","false","false","false","true","false","false","","SAFE","Cepillo dental Electrico Phillips Sonicare 4100 &ndash; Drop Shop","Cepillo dental eléctrico sónico Philips Sonicare, serie 4100. Según la marca retira hasta 7 veces más placa que un cepillo manual.Qué traeSensor de presión que avisa con un pulso suave cuando aprietas de más, para no dañar encías. Tecnología BrushSync, que sincroniza mango y cabezal y te avisa con un pitido y una luz c","Cepillo dental Electrico Phillips Sonicare 4100","Cepillo dental eléctrico sónico Philips Sonicare, serie 4100. Según la marca retira hasta 7 veces más placa que un cepillo manual.Qué traeSensor de presión que avisa con un pulso suave cuando aprietas de más, para no dañar encías. Tecnología BrushSync, que sincroniza mango y cabezal y te avisa con un pitido y una luz c","https://drop-shop-g7.myshopify.com/products/cepillo-dental-electrico-phillips-sonicare-4100","true","true","true","200","","BelPhi-16-Blanco","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"afeitadora-norelco-philips-multigroom-series-7000","https://drop-shop-g7.myshopify.com/products/afeitadora-norelco-philips-multigroom-series-7000","Afeitadora Norelco Philips Multigroom Series 7000","Philips","cosmético/cuidado personal o dispositivo","Afeitado y grooming","","false","316700","316700","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-158-360-slot.webp?v=1786655241","6","false","false","6","","930","false","false","false","false","true","false","false","","SAFE","Afeitadora Norelco Philips Multigroom Series 7000 &ndash; Drop Shop","Recortadora multiusos Philips Norelco Multigroom Series 7000, para barba, cabello, cuerpo y detalles de rostro, en un solo aparato.Las cuchillasUsa tecnología DualCut, con el doble de cuchillas autoafilables. Philips declara que se mantienen afiladas hasta 5 años y que no necesitan aceite.ConstrucciónEstructura de acer","Afeitadora Norelco Philips Multigroom Series 7000","Recortadora multiusos Philips Norelco Multigroom Series 7000, para barba, cabello, cuerpo y detalles de rostro, en un solo aparato.Las cuchillasUsa tecnología DualCut, con el doble de cuchillas autoafilables. Philips declara que se mantienen afiladas hasta 5 años y que no necesitan aceite.ConstrucciónEstructura de acer","https://drop-shop-g7.myshopify.com/products/afeitadora-norelco-philips-multigroom-series-7000","true","true","true","200","","BelPhi-158","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"repuesto-pack-4-cepillo-dental-philips-sonicare-c3-blanco","https://drop-shop-g7.myshopify.com/products/repuesto-pack-4-cepillo-dental-philips-sonicare-c3-blanco","Repuesto (Pack 4) Cepillo dental Philips Sonicare C3, blanco","Philips","cosmético/cuidado personal o dispositivo","Higiene oral","","false","123750","123750","","false","false","repuesto-pack-4-cepillo-dental-philips-sonicare-c3-negro","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelPhi-142-principal.png?v=1786466778","5","false","false","5","","621","false","false","false","false","false","false","false","","SAFE","Repuesto (Pack 4) Cepillo dental Philips Sonicare C3, blanco &ndash; Drop Shop","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C3 Premium Plaque Control, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","Repuesto (Pack 4) Cepillo dental Philips Sonicare C3, blanco","Pack de 4 cabezales de repuesto para cepillo dental Philips Sonicare, serie C3 Premium Plaque Control, enfocado a la placa.Compatibilidad. Ajuste a presión (snap-on), el estándar de los mangos Sonicare actuales. Antes de comprar, comprueba que tu mango sea de ajuste a presión y no de rosca: si tienes dudas, escríbenos ","https://drop-shop-g7.myshopify.com/products/repuesto-pack-4-cepillo-dental-philips-sonicare-c3-blanco","true","true","true","200","","BelPhi-142","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"serum-ordinary-crecimiento-pestanas-y-cejas-multipeptide","https://drop-shop-g7.myshopify.com/products/serum-ordinary-crecimiento-pestanas-y-cejas-multipeptide","Serum Ordinary  Crecimiento Pestañas Y Cejas Multipeptide","The Ordinary","cosmético/cuidado personal o dispositivo","Cuidado de ojos, cejas y pestañas","","false","117975","117975","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelOrd-210-360-slot.webp?v=1786654779","6","false","false","6","","589","false","false","false","true","true","true","true","crecimiento","REVIEW","Serum Ordinary Crecimiento Pestañas Y Cejas Multipeptide &ndash; Drop Shop","Multi-Peptide Lash and Brow Serum de The Ordinary. Fórmula con péptidos para pestañas y cejas.Cómo se usaCon la zona limpia y seca, aplica una capa fina a lo largo de la línea de las pestañas y sobre las cejas, mañana y noche.Advertencias Usar solo como se indica y sobre piel sin heridas. Se recomienda prueba de parche","Serum Ordinary Crecimiento Pestañas Y Cejas Multipeptide","Multi-Peptide Lash and Brow Serum de The Ordinary. Fórmula con péptidos para pestañas y cejas.Cómo se usaCon la zona limpia y seca, aplica una capa fina a lo largo de la línea de las pestañas y sobre las cejas, mañana y noche.Advertencias Usar solo como se indica y sobre piel sin heridas. Se recomienda prueba de parche","https://drop-shop-g7.myshopify.com/products/serum-ordinary-crecimiento-pestanas-y-cejas-multipeptide","true","true","true","200","","BelOrd-210","true","","COSMÉTICO","“Crecimiento” en el título puede implicar resultado fisiológico; reescribir como sérum para pestañas y cejas salvo soporte autorizado."
"protector-solar-neutrogena-ultra-sheer-body-mist-spf-45-5-0-oz-141g","https://drop-shop-g7.myshopify.com/products/protector-solar-neutrogena-ultra-sheer-body-mist-spf-45-5-0-oz-141g","Protector solar Neutrogena Ultra Sheer Body Mist Spf 45 5.0 OZ (141g)","Neutrogena","cosmético/cuidado personal o dispositivo","Protección solar","","false","65000","65000","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelNeu-130.png?v=1785534172","5","false","false","5","","670","false","false","false","true","true","false","false","","SAFE","Protector solar Neutrogena Ultra Sheer Body Mist Spf 45 5.0 OZ (141g) &ndash; Drop Shop","Protector solar Neutrogena Ultra Sheer de amplio espectro SPF 45, con tecnología Helioplex frente a rayos UVA y UVB. El acabado Dry-Touch absorbe rápido y no deja brillo ni sensación grasa.Filtros que declara el fabricanteAvobenzona 3 %, homosalato 10 %, octisalato 5 % y octocrileno 10 %. Sin oxibenzona.Cómo se usaApli","Protector solar Neutrogena Ultra Sheer Body Mist Spf 45 5.0 OZ (141g)","Protector solar Neutrogena Ultra Sheer de amplio espectro SPF 45, con tecnología Helioplex frente a rayos UVA y UVB. El acabado Dry-Touch absorbe rápido y no deja brillo ni sensación grasa.Filtros que declara el fabricanteAvobenzona 3 %, homosalato 10 %, octisalato 5 % y octocrileno 10 %. Sin oxibenzona.Cómo se usaApli","https://drop-shop-g7.myshopify.com/products/protector-solar-neutrogena-ultra-sheer-body-mist-spf-45-5-0-oz-141g","true","true","true","200","","BelNeu-130","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"aceite-de-ricino-castor-organico-majestic-pure-usda-x236-ml","https://drop-shop-g7.myshopify.com/products/aceite-de-ricino-castor-organico-majestic-pure-usda-x236-ml","Aceite de Ricino-Castor Orgánico Majestic Pure USDA x236 ml","Majestic Pure","cosmético/cuidado personal o dispositivo","Cuidado capilar","","false","79024","79024","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelMaj-001.png?v=1785534172","5","false","false","5","","660","false","false","false","true","true","false","false","","REVIEW","Aceite de Ricino-Castor Orgánico Majestic Pure USDA x236 ml &ndash; Drop Shop","Aceite de ricino orgánico certificado USDA de Majestic Pure. Es 100 % puro, prensado en frío y libre de hexano.Para qué se usaLa marca lo indica para cabello, pestañas, cejas, uñas, piel y cuerpo, y también como aceite portador para mezclar con aceites esenciales o para masaje. Es rico en ácido ricinoleico, ácidos gras","Aceite de Ricino-Castor Orgánico Majestic Pure USDA x236 ml","Aceite de ricino orgánico certificado USDA de Majestic Pure. Es 100 % puro, prensado en frío y libre de hexano.Para qué se usaLa marca lo indica para cabello, pestañas, cejas, uñas, piel y cuerpo, y también como aceite portador para mezclar con aceites esenciales o para masaje. Es rico en ácido ricinoleico, ácidos gras","https://drop-shop-g7.myshopify.com/products/aceite-de-ricino-castor-organico-majestic-pure-usda-x236-ml","true","true","true","200","","BelMaj-001","true","","COSMÉTICO / EVIDENCIA REQUERIDA","“USDA certificado”, “100 % puro”, “libre de hexano” necesitan evidencia documental accesible; el título lo presenta como hecho."
"pestanina-double-extend-loreal-5-0ml-mas-negro","https://drop-shop-g7.myshopify.com/products/pestanina-double-extend-loreal-5-0ml-mas-negro","Pestañina Double Extend L'oréal 5.0(ml) - mas negro","L'Oréal Paris","cosmético/cuidado personal o dispositivo","Maquillaje","","false","82770","82770","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelLor-100.png?v=1785534171","5","false","false","5","","649","false","false","false","true","true","false","false","","SAFE","Pestañina Double Extend L'oréal 5.0(ml) - mas negro &ndash; Drop Shop","Double Extend Beauty Tubes de L&#39;Oréal Paris en el tono 570 Blackest Black. Es una máscara de dos pasos, con un producto distinto en cada extremo del envase.Cómo se usaEl paso 1 es una prebase blanca con ceramida R y pantenol. El paso 2 es la máscara negra tubular, que forma pequeñas envolturas alrededor de cada pestaña","Pestañina Double Extend L&#39;oréal 5.0(ml) - mas negro","Double Extend Beauty Tubes de L&#39;Oréal Paris en el tono 570 Blackest Black. Es una máscara de dos pasos, con un producto distinto en cada extremo del envase.Cómo se usaEl paso 1 es una prebase blanca con ceramida R y pantenol. El paso 2 es la máscara negra tubular, que forma pequeñas envolturas alrededor de cada pestaña","https://drop-shop-g7.myshopify.com/products/pestanina-double-extend-loreal-5-0ml-mas-negro","true","true","true","200","","BelLor-100","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"listerine-pocketmist-cool-mint-pack-x2-140-und","https://drop-shop-g7.myshopify.com/products/listerine-pocketmist-cool-mint-pack-x2-140-und","Listerine Pocketmist Cool Mint Pack x2 (140 und)","Listerine","cosmético/cuidado personal o dispositivo","Higiene oral","","false","54700","54700","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelLis-001-360-slot.webp?v=1786653723","6","false","false","6","","506","false","false","false","true","true","false","false","","SAFE","Listerine Pocketmist Cool Mint Pack x2 (140 und) &ndash; Drop Shop","Listerine Pocketmist Cool Mint. Spray bucal de bolsillo, sin azúcar y sin propelente en aerosol, para refrescar el aliento fuera de casa.Cómo se usaPresiona el gatillo hasta que se descubra el orificio de la bruma y sigue presionando con firmeza hasta que salga. Aplica 2 o 3 pulsaciones. La primera vez hay que cebar el","Listerine Pocketmist Cool Mint Pack x2 (140 und)","Listerine Pocketmist Cool Mint. Spray bucal de bolsillo, sin azúcar y sin propelente en aerosol, para refrescar el aliento fuera de casa.Cómo se usaPresiona el gatillo hasta que se descubra el orificio de la bruma y sigue presionando con firmeza hasta que salga. Aplica 2 o 3 pulsaciones. La primera vez hay que cebar el","https://drop-shop-g7.myshopify.com/products/listerine-pocketmist-cool-mint-pack-x2-140-und","true","true","true","200","","BelLis-001","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"iluminador-trophy-wife-fenty-beauty-8g-killawatt","https://drop-shop-g7.myshopify.com/products/iluminador-trophy-wife-fenty-beauty-8g-killawatt","Iluminador Trophy Wife Fenty Beauty 8g Killawatt","Fenty Beauty","REVIEW","Maquillaje","","false","290000","290000","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelFen-001-360-slot.webp?v=1786658734","6","false","false","6","","474","false","false","false","true","true","false","false","","SAFE","Iluminador Trophy Wife Fenty Beauty 8g Killawatt &ndash; Drop Shop","Iluminador en polvo cremoso Killawatt de Fenty Beauty en el tono Trophy Wife: un dorado metálico intenso, de alto brillo y cobertura modulable. La fórmula es ligera y de larga duración.Cómo se usaAplica con brocha o con los dedos en pómulos, puente de la nariz y arco de Cupido. También funciona como sombra de ojos y co","Iluminador Trophy Wife Fenty Beauty 8g Killawatt","Iluminador en polvo cremoso Killawatt de Fenty Beauty en el tono Trophy Wife: un dorado metálico intenso, de alto brillo y cobertura modulable. La fórmula es ligera y de larga duración.Cómo se usaAplica con brocha o con los dedos en pómulos, puente de la nariz y arco de Cupido. También funciona como sombra de ojos y co","https://drop-shop-g7.myshopify.com/products/iluminador-trophy-wife-fenty-beauty-8g-killawatt","true","true","true","200","","BelFen-001","true","","COSMÉTICO/CUIDADO PERSONAL — validar NSO y rotulado","Sin claim de alto riesgo detectado en texto extraíble."
"gel-de-tratamiento-para-el-acne-differin-0-1-de-adapaleno-x15g","https://drop-shop-g7.myshopify.com/products/gel-de-tratamiento-para-el-acne-differin-0-1-de-adapaleno-x15g","Gel de Tratamiento para el Acné Differin 0.1% de Adapaleno x15g","Differin","medicamento/OTC - confirmar estatus INVIMA","Cuidado facial","","true","125000","125000","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelDif-001-360-slot.webp?v=1786654284","6","false","false","6","","938","false","false","false","false","true","true","false","tratamiento|acne|acné","REMOVE / REWRITE","Gel de Tratamiento para el Acné Differin 0.1% de Adapaleno x15g &ndash; Drop Shop","Gel de tratamiento para el acné con adapaleno al 0,1 %, un retinoide. Actúa sobre las lesiones de acné del rostro y otras zonas afectadas.Cómo se usaLava con suavidad la zona afectada con un jabón no medicado y aplica una capa fina sobre toda la zona (no solo sobre los granos), una vez al día por la noche. Evita el con","Gel de Tratamiento para el Acné Differin 0.1% de Adapaleno x15g","Gel de tratamiento para el acné con adapaleno al 0,1 %, un retinoide. Actúa sobre las lesiones de acné del rostro y otras zonas afectadas.Cómo se usaLava con suavidad la zona afectada con un jabón no medicado y aplica una capa fina sobre toda la zona (no solo sobre los granos), una vez al día por la noche. Evita el con","https://drop-shop-g7.myshopify.com/products/gel-de-tratamiento-para-el-acne-differin-0-1-de-adapaleno-x15g","true","true","true","200","","BelDif-001","true","P0: Adapaleno, claims terapéuticos y soporte basado en etiqueta FDA; no se muestra registro o condición de venta INVIMA. Retirar de TikTok y pausar venta hasta verificación.","MEDICAMENTO / ESTATUS COLOMBIA NO VERIFICADO","Adapaleno, claims terapéuticos y soporte basado en etiqueta FDA; no se muestra registro o condición de venta INVIMA. Retirar de TikTok y pausar venta hasta verificación."
"serum-fortalecedor-de-pestanas-dabalash-0-18fl-5-32ml","https://drop-shop-g7.myshopify.com/products/serum-fortalecedor-de-pestanas-dabalash-0-18fl-5-32ml","Sérum fortalecedor de pestañas Dabalash 0.18FL/ 5.32ml","DABALASH","cosmético/cuidado personal o dispositivo","Cuidado de ojos, cejas y pestañas","","false","398000","398000","","false","false","","https://cdn.shopify.com/s/files/1/0694/7563/1258/files/BelDab-001.png?v=1785534166","5","false","false","5","","817","false","false","false","true","true","true","false","embarazo","HIGH RISK","Sérum fortalecedor de pestañas Dabalash 0.18FL/ 5.32ml &ndash; Drop Shop","Sérum cosmético en gel para pestañas y cejas DABALASH Professional Eyelash Enhancer.Cómo se usaSobre piel limpia y seca, retira el exceso del aplicador y pasa una sola línea fina por la base de las pestañas superiores, una vez al día, evitando el lagrimal. Espera uno o dos minutos antes de maquillarte.Advertencias Cont","Sérum fortalecedor de pestañas Dabalash 0.18FL/ 5.32ml","Sérum cosmético en gel para pestañas y cejas DABALASH Professional Eyelash Enhancer.Cómo se usaSobre piel limpia y seca, retira el exceso del aplicador y pasa una sola línea fina por la base de las pestañas superiores, una vez al día, evitando el lagrimal. Espera uno o dos minutos antes de maquillarte.Advertencias Cont","https://drop-shop-g7.myshopify.com/products/serum-fortalecedor-de-pestanas-dabalash-0-18fl-5-32ml","true","true","true","200","","BelDab-001","true","P0: Declara dehidrolatanoprost, riesgos y restricción en embarazo; validar NSO, rotulado y claims antes de pauta.","COSMÉTICO SENSIBLE / REVIEW","Declara dehidrolatanoprost, riesgos y restricción en embarazo; validar NSO, rotulado y claims antes de pauta."
